name,family,val_accuracy,val_weighted_f1,val_plasma_recall,val_auc,test_accuracy,test_weighted_f1,test_plasma_recall,test_auc
resnet50_final,image,93.23308270676691,93.24554533087786,96.70781893004116,97.75656086690304,92.29323308270678,92.30567662916141,94.21487603305785,97.30478768880022
plasmaxai_hybrid_best,hybrid,94.73684210526315,94.74356751715727,96.29629629629629,98.0634229000242,92.10526315789474,92.10526315789474,91.32231404958677,97.05899116557424
densenet121_final,image,93.04511278195488,93.05185759181668,93.82716049382715,97.52944024378087,90.41353383458647,90.40446789045845,88.42975206611571,96.6051581647193
xgb_morph,morphology,87.03007518796993,87.05417150843617,90.94650205761316,94.43091688381962,85.15037593984962,85.17812063475715,87.19008264462809,93.15332003419779
