model,accuracy,weighted_f1,plasma_recall,auc
ResNet50,91.9172932330827,91.93034378180342,93.80165289256198,97.04616699914504
DenseNet121,89.84962406015038,89.83337695980649,87.19008264462809,96.35651182673126
Prev Hybrid,91.72932330827066,91.72932330827066,90.9090909090909,97.12168709033912
Novel Fusion,93.23308270676691,93.23731973376064,93.38842975206612,97.7607580507267
