epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_recall,val_auc,threshold,gate_resnet,gate_densenet,gate_morph,gate_cf
1,0.23002940165381774,91.45850120870266,0.2055040400727351,94.3609022556391,94.36906477099983,96.29629629629629,97.85908553690176,0.7599999999999999,0.5366464257240295,0.39642056822776794,0.053062282502651215,0.013870700262486935
2,0.17867674902501748,94.23851732473811,0.20328512586149058,93.796992481203,93.79595428397927,93.00411522633745,98.32471841314594,0.8799999999999999,0.6753780245780945,0.1536998301744461,0.09678096324205399,0.07414115220308304
3,0.1520177919858891,94.48025785656728,0.17446572126302504,93.42105263157895,93.42210620341221,93.00411522633745,97.9594742762755,0.6449999999999999,0.5864817500114441,0.17690862715244293,0.20385527610778809,0.032754380255937576
4,0.1354243261597024,94.56083803384368,0.18762713581099547,93.98496240601504,93.98290539686349,93.00411522633745,98.1915787375226,0.72,0.5545592308044434,0.22243791818618774,0.14458781480789185,0.07841505855321884
5,0.1355427215288571,95.68896051571313,0.18637177549806752,94.17293233082707,94.17386549445082,93.82716049382715,98.21578595127231,0.7699999999999999,0.5314697027206421,0.2703518271446228,0.14467747509479523,0.05350098758935928
6,0.1300392780546024,94.84286865431105,0.19950974771850988,94.17293233082707,94.18179895621972,96.29629629629629,98.08549418314894,0.6599999999999999,0.5311811566352844,0.27449873089790344,0.1488335132598877,0.045486606657505035
7,0.12241339187627834,95.60838033843675,0.17391299708445268,93.796992481203,93.80151228991107,94.23868312757202,98.28271177752147,0.5599999999999999,0.531887412071228,0.2293458878993988,0.1789272278547287,0.05983944982290268
8,0.13244783141673525,94.92344883158744,0.20048151966324426,94.17293233082707,94.17386549445082,93.82716049382715,98.06627080752418,0.7599999999999999,0.4445514678955078,0.26158931851387024,0.19414865970611572,0.09971059113740921
9,0.1184092062577233,95.72925060435134,0.18809937512067923,93.23308270676691,93.24573258331348,97.11934156378601,98.01429649564982,0.48999999999999994,0.41399291157722473,0.3651718497276306,0.21288363635540009,0.007951579056680202
10,0.10640136250366039,96.05157131345689,0.21987509906740116,93.98496240601504,93.99009206454649,94.65020576131687,98.21365002064732,0.615,0.3569469153881073,0.41650137305259705,0.21714775264263153,0.009403961710631847
11,0.11165027714227112,95.9709911361805,0.21753148432064773,93.23308270676691,93.24383298672213,95.47325102880659,97.93882694690076,0.715,0.4399336874485016,0.2942609190940857,0.2537475824356079,0.012057775631546974
