label,mode,threshold,test_accuracy,test_weighted_f1,test_plasma_precision,test_plasma_recall,test_auc,val_accuracy,val_weighted_f1,val_plasma_precision,val_plasma_recall,val_auc
Image Only,image_only,0.37499999999999994,93.42105263157895,93.41746312947902,93.30543933054393,92.14876033057851,97.56697064690796,94.17293233082707,94.18179895621972,91.40625,96.29629629629629,98.06057499252424
Without Morphology,no_morphology,0.63,93.04511278195488,93.05220751198755,91.16465863453816,93.80165289256198,96.98347107438016,94.17293233082707,94.18311276111841,90.76923076923077,97.11934156378601,97.54581571190568
Without Counterfactual Path,no_counterfactual,0.73,90.22556390977444,90.1896800165963,92.03539823008849,85.9504132231405,97.61541749786264,93.98496240601504,93.98684552912336,93.06122448979592,93.82716049382715,98.19798652939753
Full Novel Fusion,full,0.7749999999999999,91.72932330827066,91.71217036369082,92.67241379310344,88.84297520661157,97.78569392989456,94.92481203007519,94.92396259598304,94.62809917355372,94.23868312757202,98.42225924501973
