model,accuracy,weighted_f1,plasma_precision,plasma_recall,auc,threshold
PlasmaXAI,93.42105263157895,93.42925577870817,91.23505976095618,94.62809917355372,97.7607580507267,0.72
ResNet50,91.9172932330827,91.93034378180342,89.01960784313725,93.80165289256198,97.04616699914504,
Prev Hybrid,91.72932330827066,91.72932330827066,90.9090909090909,90.9090909090909,97.12168709033912,
DenseNet121,89.84962406015038,89.83337695980649,90.17094017094016,87.19008264462809,96.35651182673126,
Morph XGBoost,84.9624060150376,84.9928495053731,80.22388059701493,88.84297520661157,92.9353092049017,0.3599999999999999
Morph Random Forest,83.27067669172934,83.29758744849607,77.6173285198556,88.84297520661157,92.07751496152753,0.3849999999999999
Morph RBF-SVM,80.26315789473685,80.27815236840154,74.03508771929825,87.19008264462809,90.8934169278997,0.2499999999999999
Morph Logistic Regression,78.38345864661655,78.27261557247176,70.41800643086816,90.49586776859503,87.7600455970362,0.2749999999999999
